time,ODE_y0,ODE_y1
0,0,0
0.001,4.99932298333e-07,0.000999795860831
0.002,1.99945011169e-06,0.00199916689344
0.003,4.49811620546e-06,0.00299808828851
0.004,7.99546854621e-06,0.00399653525786
0.005,1.24910203232e-05,0.00499448303509
0.006,1.79842599704e-05,0.00599190687619
0.007,2.44746511892e-05,0.00698878206013
0.008,3.19616329718e-05,0.00798508388949
0.009,4.04446196249e-05,0.00898078769105
0.01,4.99230007945e-05,0.00997586881641
0.011,6.03961414906e-05,0.0109703026426
0.012,7.18633821135e-05,0.0119640645726
0.013,8.43240384796e-05,0.0129571300362
0.014,9.77774018486e-05,0.0139494744902
0.015,0.000112222738951,0.0149410734195
0.016,0.000127659292016,0.0159319023371
0.017,0.000144086278801,0.0169219367853
0.018,0.00016150289262,0.017911152336
0.019,0.000179908302374,0.0188995245912
0.02,0.000199301652581,0.019887029184
0.021,0.000219682063408,0.0208736417787
0.022,0.000241048630703,0.0218593380716
0.023,0.000263400426026,0.0228440937918
0.024,0.000286736496683,0.0238278847016
0.025,0.000311055865757,0.0248106865969
0.026,0.000336357532148,0.0257924753083
0.027,0.0003626404706,0.0267732267011
0.028,0.000389903631743,0.0277529166764
0.029,0.000418145942125,0.0287315211713
0.03,0.000447366304249,0.0297090161598
0.031,0.000477563596612,0.0306853776532
0.032,0.000508736673739,0.0316605817007
0.033,0.000540884366226,0.0326346043899
0.034,0.000574005480774,0.0336074218477
0.035,0.000608098800232,0.0345790102405
0.036,0.000643163083635,0.0355493457751
0.037,0.000679197066244,0.0365184046991
0.038,0.000716199459591,0.0374861633013
0.039,0.000754168951515,0.0384525979128
0.04,0.00079310420621,0.0394176849071
0.041,0.000833003864261,0.0403814007007
0.042,0.000873866542696,0.0413437217541
0.043,0.000915690835023,0.0423046245718
0.044,0.000958475311277,0.0432640857033
0.045,0.00100221851806,0.0442220817436
0.046,0.00104691897861,0.0451785893334
0.047,0.00109257519281,0.0461335851601
0.048,0.00113918563726,0.0470870459583
0.049,0.00118674876531,0.0480389485102
0.05,0.00123526300714,0.0489892696462
0.051,0.00128472676975,0.0499379862454
0.052,0.00133513843709,0.0508850752365
0.053,0.00138649637002,0.0518305135979
0.054,0.00143879890642,0.0527742783585
0.055,0.00149204436122,0.0537163465984
0.056,0.00154623102648,0.054656695449
0.057,0.00160135717139,0.055595302094
0.058,0.00165742104235,0.0565321437697
0.059,0.00171442086303,0.0574671977656
0.06,0.00177235483443,0.0584004414251
0.061,0.0018312211349,0.0593318521457
0.062,0.00189101792022,0.06026140738
0.063,0.00195174332367,0.0611890846357
0.064,0.00201339545602,0.0621148614767
0.065,0.00207597240569,0.0630387155233
0.066,0.00213947223869,0.0639606244527
0.067,0.0022038929988,0.0648805659997
0.068,0.0022692327075,0.0657985179573
0.069,0.00233548936413,0.0667144581769
0.07,0.00240266094591,0.0676283645693
